neighborhood	address	latitude	longitude	daily_orders
Banjara Hills	Banjara Hills, Hyderabad, Telangana	17.4156	78.4347	210
Jubilee Hills	Jubilee Hills, Hyderabad, Telangana	17.4325	78.4071	190
Hitech City	HITEC City, Hyderabad, Telangana	17.4435	78.3772	260
Gachibowli	Gachibowli, Hyderabad, Telangana	17.4401	78.3489	230
Kondapur	Kondapur, Hyderabad, Telangana	17.4697	78.363	200
Secunderabad	Secunderabad, Hyderabad, Telangana	17.4399	78.4983	170
Kukatpally	Kukatpally, Hyderabad, Telangana	17.4849	78.4138	220
Madhapur	Madhapur, Hyderabad, Telangana	17.4483	78.3915	240
Begumpet	Begumpet, Hyderabad, Telangana	17.4439	78.4625	150
Mehdipatnam	Mehdipatnam, Hyderabad, Telangana	17.3936	78.4406	140
