neighborhood	address	latitude	longitude	daily_orders
Andheri West	Andheri West, Mumbai, Maharashtra	19.1364	72.8296	240
Andheri East	Andheri East, Mumbai, Maharashtra	19.1197	72.8468	210
Bandra West	Bandra West, Mumbai, Maharashtra	19.0607	72.8362	190
Bandra East	Bandra East, Mumbai, Maharashtra	19.0557	72.84	170
Powai	Powai, Mumbai, Maharashtra	19.1176	72.906	220
Ghatkopar	Ghatkopar, Mumbai, Maharashtra	19.086	72.9081	180
Kurla	Kurla, Mumbai, Maharashtra	19.0726	72.8794	200
Chembur	Chembur, Mumbai, Maharashtra	19.0522	72.9005	160
Dadar	Dadar, Mumbai, Maharashtra	19.0178	72.8478	150
Lower Parel	Lower Parel, Mumbai, Maharashtra	18.9988	72.8258	175
Borivali West	Borivali West, Mumbai, Maharashtra	19.2307	72.8567	130
Thane West	Thane West, Thane, Maharashtra	19.2183	72.9781	210
